scrape_date,listing_url,year,transmission,mileage,fuel,municipality,color,make,model,price_value,price_currency,price,mileage_raw,age,region
2025-04-28 09:56:03.700070,https://www.merrjep.al/njoftim/vw-polo/13617472,2003,Manual,170000,Benzin,Tiranë,Gri,VW Volkswagen,Polo,2200.0,EUR,22000,170 000 - 179 999,22,Tirane
2025-04-28 09:56:03.700077,https://www.merrjep.al/njoftim/renault-laguna/13617813,2010,Automatik,200000,Dizel / Naftë,Tiranë,E Zezë,Renault,Laguna,3500.0,EUR,35000,200 000 - 249 999,15,Tirane
2025-04-28 09:56:03.700086,https://www.merrjep.al/njoftim/vw-polo-2012-benzin-gaz-fabrike-1-6-gjendje-perfekte/14690292,2012,Manual,160000,Gaz (TNG) / Benzinë,Tiranë,Gri,VW Volkswagen,Polo,5290.0,EUR,52900,160 000 - 169 999,13,Tirane
2025-04-28 09:56:03.700095,https://www.merrjep.al/njoftim/golf-5-automatik-1-9-nafte-nga-gjermania/15218971,2005,Automatik,200000,Dizel / Naftë,Durrës,Blu,VW Volkswagen,Golf,5300.0,EUR,53000,200 000 - 249 999,20,Durres
2025-04-28 09:56:03.700104,https://www.merrjep.al/njoftim/4x4-dhe-6+1-vende/15139792,2013,Automatik,15000,Dizel / Naftë,Tiranë,Gri,Hyundai,Santa Fe,9900.0,EUR,99000,15 000 - 19 999,12,Tirane
2025-04-28 09:56:03.700112,https://www.merrjep.al/njoftim/benz-b-200-cdi-automat-viti-2008-nafte/15188933,2008,Automatik,190000,Dizel / Naftë,Tiranë,Gri,Mercedes-Benz,B 200,4790.0,EUR,47900,190 000 - 199 999,17,Tirane
2025-04-28 09:56:03.700120,https://www.merrjep.al/njoftim/toyota-auris-hybrid/13626333,2013,Automatik,170000,Hibrid & CNG,Tiranë,E Bardhë,Toyota,Auris,10500.0,EUR,105000,170 000 - 179 999,12,Tirane
2025-04-28 09:56:03.700129,https://www.merrjep.al/njoftim/automat-1-4-naft/15219684,2009,Automatik,10000,Dizel / Naftë,Tiranë,Gri,Toyota,Auris,5400.0,EUR,54000,10 000 - 14 999,16,Tirane
2025-04-28 09:56:03.700145,https://www.merrjep.al/njoftim/shitet-nderrohet-santafe-2-0-naft-2016/14963996,2016,Automatik,15000,Dizel / Naftë,Tiranë,Gri,Hyundai,Santa Fe,13500.0,EUR,135000,15 000 - 19 999,9,Tirane
2025-04-28 09:56:03.700161,https://www.merrjep.al/njoftim/shitet/15223486,2007,Automatik,15000,Benzin,Tiranë,Portokalli,Mercedes-Benz,Model tjetër,2500.0,EUR,25000,15 000 - 19 999,18,Tirane
2025-04-28 09:56:03.700199,https://www.merrjep.al/njoftim/mercedes-benz-e-classe-200-gaz-automat-benzin-gaz/15189288,2008,Automatik,200000,Gaz (TNG) / Benzinë,Durrës,Gri,Mercedes-Benz,E 200,5800.0,EUR,58000,200 000 - 249 999,17,Durres
2025-04-28 09:56:03.700266,https://www.merrjep.al/njoftim/ford-transit/13626487,2013,Manual,170000,Dizel / Naftë,Tiranë,E Bardhë,Ford,Transit,9000.0,EUR,90000,170 000 - 179 999,12,Tirane
2025-04-28 09:56:03.700276,https://www.merrjep.al/njoftim/s-class-350-benzin-gaz-super-gjendje/14614576,2004,Automatik,150000,Gaz (TNG) / Benzinë,Durrës,E Zezë,Mercedes-Benz,S 350,6000.0,EUR,60000,150 000 - 159 999,21,Durres
2025-04-28 09:56:03.700285,https://www.merrjep.al/njoftim/opel-signium-1-9/14590014,2005,Automatik,200000,Dizel / Naftë,Tiranë,Gri,Opel,Signum,3500.0,EUR,35000,200 000 - 249 999,20,Tirane
2025-04-28 09:56:03.700301,https://www.merrjep.al/njoftim/okazion-automat/15201294,2006,Automatik,25000,Benzin,Tiranë,Blu,Toyota,Aygo,3300.0,EUR,33000,25 000 - 29 999,19,Tirane
2025-04-28 09:56:03.700310,https://www.merrjep.al/njoftim/cadillac-escalade-6-2-benzin-gaz-nderrohet-full-option/14629014,2007,Automatik,160000,Gaz (TNG) / Benzinë,Durrës,E Bardhë,Cadillac,Escalade,14500.0,EUR,145000,160 000 - 169 999,18,Durres
2025-04-28 09:56:03.700319,https://www.merrjep.al/njoftim/bmw-320d-automat-2012-full-option/14848626,2012,Automatik,190000,Dizel / Naftë,Tiranë,Kafe,BMW,320,10200.0,EUR,102000,190 000 - 199 999,13,Tirane
2025-04-28 09:56:03.700328,https://www.merrjep.al/njoftim/okazion-e-class-3-0-naft-2012full-extra/15000299,2012,Automatik,200000,Dizel / Naftë,Fier,E Zezë,Mercedes-Benz,E 350,9700.0,EUR,97000,200 000 - 249 999,13,Other
2025-04-28 09:56:03.700337,https://www.merrjep.al/njoftim/nissan-qashqai-automat-2-0-nafte/13645678,2010,Automatik,200000,Dizel / Naftë,Tiranë,Gri,Nissan,Qashqai+2,7490.0,EUR,74900,200 000 - 249 999,15,Tirane
2025-04-28 09:56:03.700345,https://www.merrjep.al/njoftim/gaze-benzin-2012/15219698,2012,Automatik,15000,Gaz (TNG) / Benzinë,Tiranë,E Zezë,Mercedes-Benz,C 300,9900.0,EUR,99000,15 000 - 19 999,13,Tirane
2025-04-28 09:56:03.700369,https://www.merrjep.al/njoftim/opel-astra-2013-1-7-nafte-super-gjendje-zvicra/15154893,2013,Automatik,180000,Dizel / Naftë,Durrës,Kafe,Opel,Astra,5300.0,EUR,53000,180 000 - 189 999,12,Durres
2025-04-28 09:56:03.700379,https://www.merrjep.al/njoftim/volkswagen-jetta-1-6-tdi-automat/15114802,2012,Automatik,200000,Dizel / Naftë,Vlorë,Gri,VW Volkswagen,Jetta,6699.0,EUR,66990,200 000 - 249 999,13,Vlore
2025-04-28 09:56:03.700404,https://www.merrjep.al/njoftim/shitet-vogue-autobiography/14997989,2014,Automatik,190000,Dizel / Naftë,Tiranë,E Zezë,Land Rover,Range Rover,28000.0,EUR,280000,190 000 - 199 999,11,Tirane
2025-04-28 09:56:03.700413,https://www.merrjep.al/njoftim/fiat-2022/14693383,2022,Manual,0,Dizel / Naftë,Tiranë,E Bardhë,Fiat,Ducato,17500.0,EUR,175000,0 - 4 999,3,Tirane
2025-04-28 09:56:03.700437,https://www.merrjep.al/njoftim/okazion-2015-mercedes-benz-glk-250-bluetec/14500793,2015,Automatik,130000,Dizel / Naftë,Durrës,Gri,Mercedes-Benz,GLK 250,12500.0,EUR,125000,130 000 - 139 999,10,Durres
2025-04-28 09:56:03.700445,https://www.merrjep.al/njoftim/okazion-pak-dit-mini-cooper-arsye-largimi-jashte-vendit/15181966,2004,Manual,250000,Gaz (TNG) / Benzinë,Tiranë,Gri,MINI,Cooper,2200.0,EUR,22000,250 000 - 299 999,21,Tirane
2025-04-28 09:56:03.700462,https://www.merrjep.al/njoftim/touran-1-9-tdi-viti-2006-automat/15087051,2006,Automatik,250000,Dizel / Naftë,Tiranë,Gri,VW Volkswagen,Touran,3500.0,EUR,35000,250 000 - 299 999,19,Tirane
2025-04-28 09:56:03.700471,https://www.merrjep.al/njoftim/skoda-octavia-1-9tdi-viti-2007-manual-nafte-okazion/15171866,2007,Manual,200000,Dizel / Naftë,Tiranë,Gri,Škoda,Octavia,3400.0,EUR,34000,200 000 - 249 999,18,Tirane
2025-04-28 09:56:03.700482,https://www.merrjep.al/njoftim/okazionnnn-4499/15115358,2007,Automatik,200000,Dizel / Naftë,Durrës,Blu,Mercedes-Benz,E 280,4499.0,EUR,44990,200 000 - 249 999,18,Durres
2025-04-28 09:56:03.700491,https://www.merrjep.al/njoftim/touran-1-6-tdi-automat-viti-2011/15087055,2011,Automatik,250000,Dizel / Naftë,Tiranë,E Bardhë,VW Volkswagen,Touran,6900.0,EUR,69000,250 000 - 299 999,14,Tirane
2025-04-28 09:56:03.700500,https://www.merrjep.al/njoftim/golf-5-plus-1-6-benzin-gas-automat-viti-2006/15220880,2006,Automatik,200000,Gaz (TNG) / Benzinë,Tiranë,E Bardhë,VW Volkswagen,Golf,4200.0,EUR,42000,200 000 - 249 999,19,Tirane
2025-04-28 09:56:03.700518,https://www.merrjep.al/njoftim/seat-altea-manual-2-0-tdi-viti-2004/15082194,2004,Manual,250000,Dizel / Naftë,Tiranë,E Kuqe,Seat,Altea,2800.0,EUR,28000,250 000 - 299 999,21,Tirane
2025-04-28 09:56:03.700526,https://www.merrjep.al/njoftim/okazionnnn-4600/15147342,2007,Automatik,200000,Dizel / Naftë,Durrës,E Zezë,Mercedes-Benz,E 220,4600.0,EUR,46000,200 000 - 249 999,18,Durres
2025-04-28 09:56:03.700535,https://www.merrjep.al/njoftim/audi-a4-nafte-manual-viti-2005-okazion/14727450,2005,Manual,200000,Dizel / Naftë,Tiranë,E Zezë,Audi,A4,2700.0,EUR,27000,200 000 - 249 999,20,Tirane
2025-04-28 09:56:03.700543,https://www.merrjep.al/njoftim/subaru-xv-2-0-nafte-4x4-2014-sapotarguar/15059361,2014,Manual,190000,Dizel / Naftë,Elbasan,E Zezë,Subaru,XV,6700.0,EUR,67000,190 000 - 199 999,11,Other
2025-04-28 09:56:03.700551,https://www.merrjep.al/njoftim/chevrolet-captiva-automatike-viti-2006-nafte-okazion/14727441,2006,Automatik,200000,Dizel / Naftë,Tiranë,E Zezë,Chevrolet,Captiva,5900.0,EUR,59000,200 000 - 249 999,19,Tirane
2025-04-28 09:56:03.700560,https://www.merrjep.al/njoftim/skoda-octavia-automat-viti-2006-nafte-super-okazion/14727425,2006,Automatik,200000,Dizel / Naftë,Tiranë,Gri,Škoda,Octavia,3600.0,EUR,36000,200 000 - 249 999,19,Tirane
2025-04-28 09:56:03.700570,https://www.merrjep.al/njoftim/golf-5-automatike-1-9-td-nafte-viti-2005-super-okazion/14727444,2005,Automatik,200000,Dizel / Naftë,Tiranë,E Zezë,VW Volkswagen,Golf,4000.0,EUR,40000,200 000 - 249 999,20,Tirane
2025-04-28 09:56:03.700579,https://www.merrjep.al/njoftim/ford-focus-automat-cabrio-2-0-benzin-vp-2010/15223431,2010,Automatik,15000,Benzin,Vlorë,Gri,Ford,Focus,3700.0,EUR,37000,15 000 - 19 999,15,Vlore
2025-04-28 09:56:03.700588,https://www.merrjep.al/njoftim/touran-2-0-tdi-manual-viti-2005/15175653,2005,Manual,200000,Dizel / Naftë,Tiranë,Gri,VW Volkswagen,Touran,3200.0,EUR,32000,200 000 - 249 999,20,Tirane
2025-04-28 09:56:03.700605,https://www.merrjep.al/njoftim/tiguan-automat-2-0-naft-4-motion/15082202,2010,Automatik,250000,Dizel / Naftë,Tiranë,Gri,VW Volkswagen,Tiguan,7200.0,EUR,72000,250 000 - 299 999,15,Tirane
2025-04-28 09:56:03.700614,https://www.merrjep.al/njoftim/mercedes-benz-e220-cdi-automat-viti-2009/15025462,2009,Automatik,250000,Dizel / Naftë,Tiranë,E Zezë,Mercedes-Benz,E 220,7700.0,EUR,77000,250 000 - 299 999,16,Tirane
2025-04-28 09:56:03.700623,https://www.merrjep.al/njoftim/touran-1-6-tdi-viti-2012-automat-i-sapotarguar/15033683,2012,Automatik,200000,Dizel / Naftë,Tiranë,E Bardhë,VW Volkswagen,Touran,6800.0,EUR,68000,200 000 - 249 999,13,Tirane
2025-04-28 09:56:03.700632,https://www.merrjep.al/njoftim/mercedes-benz-ml250-4-matic-viti-2011-super-okazion/15016382,2011,Automatik,250000,Dizel / Naftë,Tiranë,Gri,Mercedes-Benz,ML 250,12200.0,EUR,122000,250 000 - 299 999,14,Tirane
2025-04-28 09:56:03.700641,https://www.merrjep.al/njoftim/touran-1-9-tdi-nafte-manuale-viti-2007-me-targa/14998605,2007,Manual,200000,Dizel / Naftë,Tiranë,Gri,VW Volkswagen,Touran,3800.0,EUR,38000,200 000 - 249 999,18,Tirane
2025-04-28 09:56:03.700728,https://www.merrjep.al/njoftim/mercedes-benz-c220-automat-viti-2002-super-gjendje/14727404,2002,Automatik,200000,Dizel / Naftë,Tiranë,Gri,Mercedes-Benz,C 220,2900.0,EUR,29000,200 000 - 249 999,23,Tirane
2025-04-28 09:56:03.700767,https://www.merrjep.al/njoftim/mercedes-benz-s320-automatike-viti-2007-super-okazion/14727395,2007,Automatik,200000,Dizel / Naftë,Tiranë,Blu,Mercedes-Benz,S 320,5900.0,EUR,59000,200 000 - 249 999,18,Tirane
2025-04-28 09:56:03.700776,https://www.merrjep.al/njoftim/smart-for-two-diesel/15190197,2010,Automatik,150000,Dizel / Naftë,Tiranë,E Bardhë,Smart,ForTwo,3999.0,EUR,39990,150 000 - 159 999,15,Tirane
2025-04-28 09:56:03.700785,https://www.merrjep.al/njoftim/ford-focus-1-6-nafte/15170038,2006,Manual,300000,Dizel / Naftë,Tiranë,Gri,Ford,Focus,2000.0,EUR,20000,300 000 - 349 999,19,Tirane
2025-04-28 09:56:03.700793,https://www.merrjep.al/njoftim/kadi-1-9/15192984,2010,Manual,200000,Dizel / Naftë,Tiranë,Blu,VW Volkswagen,Caddy,5800.0,EUR,58000,200 000 - 249 999,15,Tirane
2025-04-28 09:56:03.700812,https://www.merrjep.al/njoftim/shitet-glk-220-nga-gjermania/15222854,2011,Automatik,200000,Dizel / Naftë,Krujë,E Zezë,Mercedes-Benz,GLK 220,9000.0,EUR,90000,200 000 - 249 999,14,Other
2025-04-28 09:56:03.700822,https://www.merrjep.al/njoftim/audi-a5-automatike-viti-2008-nafte-super-okazion/15215145,2008,Automatik,200000,Dizel / Naftë,Tiranë,E Bardhë,Audi,A5,5700.0,EUR,57000,200 000 - 249 999,17,Tirane
2025-04-28 09:56:03.700831,https://www.merrjep.al/njoftim/toyota-yaris-benzin+gaz-1-3-kambio-manual-vp-2008/15223416,2008,Manual,15000,Gaz (TNG) / Benzinë,Vlorë,E Bardhë,Toyota,Yaris,3800.0,EUR,38000,15 000 - 19 999,17,Vlore
2025-04-28 09:56:03.700840,https://www.merrjep.al/njoftim/jaguar-xj-2-7-nafte-automat-viti-2007-super-full-okazion/15091444,2007,Automatik,200000,Dizel / Naftë,Tiranë,E Zezë,Jaguar,XJ,8200.0,EUR,82000,200 000 - 249 999,18,Tirane
2025-04-28 09:56:03.700857,https://www.merrjep.al/njoftim/nissan-qashqai-viti-2016-automat-1-6-nafte/15223412,2016,Automatik,160000,Dizel / Naftë,Tiranë,Gri,Nissan,Qashqai,125.0,EUR,1250,160 000 - 169 999,9,Tirane
2025-04-28 09:56:03.700865,https://www.merrjep.al/njoftim/shitet-ford-focus-1-6-tdci/14379494,2012,Manual,190000,Dizel / Naftë,Durrës,E Kuqe,Ford,Focus,4400.0,EUR,44000,190 000 - 199 999,13,Durres
2025-04-28 09:56:03.700873,https://www.merrjep.al/njoftim/okazion-400-euro-cmimi-fundit/15223427,1999,Manual,160000,Benzin,Durrës,Blu,Kia,Pride,1111.0,EUR,11110,160 000 - 169 999,26,Durres
2025-04-28 09:56:03.700881,https://www.merrjep.al/njoftim/okazion-400-euro-cmimi-fundit/15223420,1999,Manual,160000,Benzin,Durrës,Blu,Kia,Pride,1111.0,EUR,11110,160 000 - 169 999,26,Durres
2025-04-28 09:56:03.701283,https://www.merrjep.al/njoftim/shitet-vogue-autobiography/14997989,2014,Automatik,190000,Dizel / Naftë,Tiranë,E Zezë,Land Rover,Range Rover,28000.0,EUR,280000,190 000 - 199 999,11,Tirane
2025-04-28 09:56:03.701309,https://www.merrjep.al/njoftim/mundesi-ndrrimi-069-365-5240/15062914,2010,Automatik,30000,Dizel / Naftë,Durrës,E Zezë,Mercedes-Benz,E 350,9500.0,EUR,95000,30 000 - 34 999,15,Durres
2025-04-28 09:56:03.701338,https://www.merrjep.al/njoftim/fiat-2022/14693383,2022,Manual,0,Dizel / Naftë,Tiranë,E Bardhë,Fiat,Ducato,17500.0,EUR,175000,0 - 4 999,3,Tirane
2025-04-28 09:56:03.701346,https://www.merrjep.al/njoftim/opel-astra-2013-1-7-nafte-super-gjendje-zvicra/15154893,2013,Automatik,180000,Dizel / Naftë,Durrës,Kafe,Opel,Astra,5300.0,EUR,53000,180 000 - 189 999,12,Durres
2025-04-28 09:56:03.701363,https://www.merrjep.al/njoftim/opel-astra/15222308,2005,Manual,200000,Dizel / Naftë,Tiranë,Gri,Opel,Astra,2600.0,EUR,26000,200 000 - 249 999,20,Tirane
2025-04-28 09:56:03.701371,https://www.merrjep.al/njoftim/volkswagen-jetta-1-6-tdi-automat/15114802,2012,Automatik,200000,Dizel / Naftë,Vlorë,Gri,VW Volkswagen,Jetta,6699.0,EUR,66990,200 000 - 249 999,13,Vlore
2025-04-28 09:56:03.701380,https://www.merrjep.al/njoftim/wolskagen-fox/15167653,2008,Manual,180000,Benzin,Tiranë,Gri,VW Volkswagen,Fox,2200.0,EUR,22000,180 000 - 189 999,17,Tirane
2025-04-28 09:56:03.701405,https://www.merrjep.al/njoftim/okazion-2015-mercedes-benz-glk-250-bluetec/14500793,2015,Automatik,130000,Dizel / Naftë,Durrës,Gri,Mercedes-Benz,GLK 250,12500.0,EUR,125000,130 000 - 139 999,10,Durres
2025-04-28 09:56:03.701414,https://www.merrjep.al/njoftim/mercedes-benz/15199134,2000,Automatik,250000,Dizel / Naftë,Tiranë,E Zezë,Mercedes-Benz,220,2300.0,EUR,23000,250 000 - 299 999,25,Tirane
2025-04-28 09:56:03.701422,https://www.merrjep.al/njoftim/audi-q7-s-line-shitet-nderrohet/15192500,2015,Automatik,15000,Benzin,Durrës,Gri,Audi,Q7,10500.0,EUR,105000,15 000 - 19 999,10,Durres
2025-04-28 09:56:03.701430,https://www.merrjep.al/njoftim/renxh-rover-evoque/15168096,2004,Automatik,200000,Dizel / Naftë,Tiranë,Gri,Land Rover,Range Rover Evoque,3400.0,EUR,34000,200 000 - 249 999,21,Tirane
2025-04-28 09:56:03.701446,https://www.merrjep.al/njoftim/c-class-w204-220-cdi/15170613,2013,Automatik,20000,Dizel / Naftë,Durrës,Gri,Mercedes-Benz,C 220,9200.0,EUR,92000,20 000 - 24 999,12,Durres
2025-04-28 09:56:03.701480,https://www.merrjep.al/njoftim/okazion-400-euro-cmimi-fundit/15223410,1999,Manual,160000,Benzin,Durrës,Blu,Kia,Pride,1.0,EUR,10,160 000 - 169 999,26,Durres
2025-04-28 09:56:03.701488,https://www.merrjep.al/njoftim/toyota-auris-automat-1-4-diesel-vp-2009-150-klm/15223406,2009,Automatik,10000,Dizel / Naftë,Vlorë,Gri,Toyota,Auris,5600.0,EUR,56000,10 000 - 14 999,16,Vlore
2025-04-28 09:56:03.701496,https://www.merrjep.al/njoftim/audi-sq5-viti-2018-2019/15112335,2018,Automatik,150000,Dizel / Naftë,Tiranë,Gri,Audi,SQ5,29000.0,EUR,290000,150 000 - 159 999,7,Tirane
2025-04-28 09:56:03.701532,https://www.merrjep.al/njoftim/toyota-yaris-1-4-nafte-viti-2014/15019558,2014,Manual,110000,Dizel / Naftë,Durrës,E Kuqe,Toyota,Yaris,6700.0,EUR,67000,110 000 - 119 999,11,Durres
2025-04-28 09:56:03.701553,https://www.merrjep.al/njoftim/golf-5-gti-fabrike-188km-automat-5800-0686686122/15219210,2005,Automatik,180000,Benzin,Tiranë,E Zezë,VW Volkswagen,Golf,5800.0,EUR,58000,180 000 - 189 999,20,Tirane
2025-04-28 09:56:03.701563,https://www.merrjep.al/njoftim/shitet-nderrohet/15223404,2012,Automatik,160000,Dizel / Naftë,Tiranë,E Bardhë,Mercedes-Benz,C 220,7800.0,EUR,78000,160 000 - 169 999,13,Tirane
2025-04-28 09:56:03.701573,https://www.merrjep.al/njoftim/volkswagen-tiguan-viti-2015-2016/15165570,2015,Automatik,150000,Benzin,Tiranë,E Bardhë,VW Volkswagen,Tiguan,7500.0,EUR,75000,150 000 - 159 999,10,Tirane
2025-04-28 09:56:03.701581,https://www.merrjep.al/njoftim/vetem-shitet-8800-tiguan-2013-2-0benzine-gas-automat/15219214,2013,Automatik,170000,Gaz (TNG) / Benzinë,Tiranë,E Zezë,VW Volkswagen,Tiguan,8800.0,EUR,88000,170 000 - 179 999,12,Tirane
2025-04-28 09:56:03.701590,https://www.merrjep.al/njoftim/bmw-3-0-nafte-model-3-5-xdrive-2011-look-m/15193322,2011,Automatik,200000,Dizel / Naftë,Fier,E Zezë,BMW,X5,1.0,EUR,10,200 000 - 249 999,14,Other
2025-04-28 09:56:03.701599,https://www.merrjep.al/njoftim/suzuki-grand-vitara-2-7-gaz-benzin/15154769,2008,Automatik,200000,Gaz (TNG) / Benzinë,Tiranë,E Zezë,Suzuki,Grand Vitara,6200.0,EUR,62000,200 000 - 249 999,17,Tirane
2025-04-28 09:56:03.701607,https://www.merrjep.al/njoftim/opel-astra-1-7-naft-6-marsha/15062490,2007,Manual,200000,Dizel / Naftë,Krujë,Gri,Opel,Astra,2990.0,EUR,29900,200 000 - 249 999,18,Other
2025-04-28 09:56:03.701624,https://www.merrjep.al/njoftim/ford-focus-2006-1-6-nafte/14537557,2006,Manual,200000,Dizel / Naftë,Krujë,Blu,Ford,Focus,2200.0,EUR,22000,200 000 - 249 999,19,Other
2025-04-28 09:56:03.701632,https://www.merrjep.al/njoftim/okazion-400-euro-cmimi-fundit/15223402,1999,Manual,160000,Benzin,Durrës,Blu,Kia,Pride,400.0,EUR,4000,160 000 - 169 999,26,Durres
2025-04-28 09:56:03.701657,https://www.merrjep.al/njoftim/audi-a3-2-0-naft-dsg/14976558,2005,Automatik,190000,Dizel / Naftë,Krujë,Gri,Audi,A3,4600.0,EUR,46000,190 000 - 199 999,20,Other
